treatmentID,treatment,temperature,tree,substrate,horizon,DOMinput,CN_DOMinput,CN_MAOMp,CN_POM,pH,temp,bact_total,fungi,CN_MAOMs,POM,MAOM,resp1,resp3,resp7,resp14,resp22,resp24,resp28,resp35,resp50,resp52,resp56,resp63,resp92,resp94,resp98,resp105,resp148,resp150,resp154,resp161,resp_sub1,resp_sub3,resp_sub7,resp_sub14,resp_sub50,resp_sub52,resp_sub56,resp_sub63,resp_sub148,resp_sub150,resp_sub154,resp_sub161,resp1_error,resp3_error,resp7_error,resp14_error,resp22_error,resp24_error,resp28_error,resp35_error,resp50_error,resp52_error,resp56_error,resp63_error,resp92_error,resp94_error,resp98_error,resp105_error,resp148_error,resp150_error,resp154_error,resp161_error,resp_sub1_error,resp_sub3_error,resp_sub7_error,resp_sub14_error,resp_sub50_error,resp_sub52_error,resp_sub56_error,resp_sub63_error,resp_sub148_error,resp_sub150_error,resp_sub154_error,resp_sub161_error
11,15 0 W A,15,control,control,A,0,0,15,24,4.1,15,5,1,15,13032,25368,0.287779048,0.267907619,0.257258571,0.252800238,0.244953571,0.241972857,0.237896667,0.231298333,0.228737976,0.22684,0.219541071,0.225056667,0.218572976,0.203376429,0.21340131,0.214777024,0.175199762,0.162945714,0.147303333,0.140068095,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
12,15 0 W B,15,control,control,B,0,0,15,24,5,15,5,1,15,4344,8456,0.071817381,0.073804524,0.062289286,0.054722857,0.07276,0.065728571,0.045984524,0.040965714,0.041831905,0.045551429,0.042417857,0.058340476,0.050315476,0.046583214,0.052608333,0.042354167,0.021438214,0.02119619,0.017693214,0.025399762,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
13,15 B RE A,15,beech,exudates,A,4.57,2.9,15,24,4.1,15,5,1,15,13032,25368,0.33404381,0.301357857,0.285817381,0.275958095,0.320312143,0.303599762,0.280875,0.179326905,0.273601548,0.244877143,0.236215238,0.247832381,0.201300119,0.202956071,0.179887381,0.176027738,0.233412857,0.203975119,0.196650714,0.175874881,0.114822663,0.011742603,0.004751961,0.002713503,0.115322215,0.015886211,0.008806598,0.005412105,0.100283628,0.01846915,0.015219136,0.010990816,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
14,15 B RE B,15,beech,exudates,B,4.57,2.9,15,24,5,15,5,1,15,4344,8456,0.092172857,0.083179762,0.068250714,0.06654381,0.107356667,0.096440119,0.046583214,0.035602976,0.095663095,0.064250952,0.04139881,0.052863095,0.070798333,0.059079286,0.04942381,0.053589167,0.028698929,0.030189286,0.022444524,0.023081429,0.239392078,0.030190996,0.008714706,0.003481893,0.214091096,0.033735693,0.018198919,0.01201728,0.290754938,0.058735882,0.025509002,0.019936664,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
15,15 B LL A,15,beech,leachates,A,4.57,26.6,15,24,4.1,15,5,1,15,13032,25368,0.322681429,0.294199048,0.274225714,0.265614762,0.320235714,0.291880714,0.22770619,0.198204762,0.256443333,0.21935,0.213312143,0.226457857,0.192549048,0.191657381,0.192523571,0.191147857,0.173263571,0.153697857,0.141927857,0.137953571,0.093352264,0.006798674,0.003394743,0.002811652,0.074859877,0.009481959,0.006463852,0.004311871,0.072285877,0.014800979,0.009154358,0.007217482,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
16,15 B LL B,15,beech,leachates,B,4.57,26.6,15,24,5,15,5,1,15,4344,8456,0.118897381,0.07456881,0.06613619,0.058238571,0.136654286,0.049398333,0.044825357,0.038660119,0.078568571,0.082670238,0.064174524,0.065422857,0.085345238,0.046392143,0.043462381,0.040914762,0.021782143,0.023259762,0.020966905,0.021858571,0.192909244,0.025136433,0.008484197,0.003807048,0.194171179,0.019684995,0.014116159,0.011408982,0.206192371,0.03491423,0.019735213,0.015357553,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
17,15 S RE A,15,spruce,exudates,A,4.57,3.1,15,24,4.1,15,5,1,15,13032,25368,0.314885714,0.310172619,0.286785476,0.270786429,0.303421429,0.310478333,0.293141786,0.251220714,0.269716429,0.260137381,0.251755714,0.249259048,0.21527381,0.219197143,0.19239619,0.180295,0.16819381,0.155175476,0.144857619,0.139787857,0.097559682,0.013657053,0.008489359,0.004941381,0.089764228,0.016528118,0.010555975,0.007544181,0.070812393,0.022329261,0.015610145,0.01231937,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
18,15 S RE B,15,spruce,exudates,B,4.57,3.1,15,24,5,15,5,1,15,4344,8456,0.090185714,0.08807119,0.076912619,0.071180476,0.10024881,0.075256667,0.073600714,0.066492857,0.085115952,0.074415952,0.065805,0.067053333,0.063155476,0.068900357,0.04942381,0.050009762,0.036430952,0.036214405,0.026724524,0.024176905,0.196375008,0.037227495,0.018070447,0.007459913,0.157499875,0.029268218,0.024038574,0.021693111,0.179937407,0.074129003,0.042577958,0.023264426,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
19,15 S LL A,15,spruce,leachates,A,4.57,37.2,15,24,4.1,15,5,1,15,13032,25368,0.328974048,0.305077381,0.261564048,0.257080238,0.312541905,0.262990714,0.258787143,0.229948095,0.240062143,0.240800952,0.212471429,0.195020238,0.210637143,0.194510714,0.191479048,0.189899524,0.167684286,0.15922619,0.13502381,0.132297857,0.125959468,0.007341748,0.004788169,0.003583689,0.105637542,0.011151456,0.008062866,0.005691849,0.091945991,0.011322812,0.012768948,0.009680007,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
20,15 S LL B,15,spruce,leachates,B,4.57,37.2,15,24,5,15,5,1,15,4344,8456,0.126718571,0.085574524,0.073167619,0.070721905,0.132145,0.08346,0.071944762,0.065193571,0.07790619,0.072403333,0.054671905,0.055410714,0.092580476,0.070772857,0.049194524,0.053627381,0.045283929,0.031998095,0.019221786,0.026648095,0.258317315,0.024194614,0.010027488,0.006697121,0.248796316,0.020812859,0.018061387,0.01389622,0.281419414,0.04459494,0.029071233,0.019152931,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892,0.005256892
